p_id,file_name,station_name,latitude,longitude,elevation,hardware,software,lat_cal,long_cal,z_GEE
100,IMELBO4075,VK3HAG WX Station,37.72,145.028,21,Davis Vantage Pro2 Plus (Wireless),Cumulus v1.9.4,-37.7199,145.028,77
101,IMELBO4122,WeatherStationHome,37.74,145.048,71,Other,GW1000_V1.7.5,-37.7399,145.048,70
102,IMELBO3749,3074WS1,37.676,145.011,121,Other,,-37.6761,145.011,112
104,IMELBO3884,Miraklass,37.7,145.028,32,Other,,-37.7001,145.028,104
105,IMELBO3717,Lalor Black Cat,37.67,145.034,111,Other,EasyWeatherV1.5.2,-37.67,145.034,114
106,IMELBO2844,MACLEOD,37.718,145.076,27,Other,EasyWeatherV1.6.9,-37.7179,145.076,79
107,IMELBO1178,Ross' Weather Station,37.731,145.062,31,Other,EasyWeatherV1.5.6,-37.731,145.062,95
108,IVCTBELL6,Ivanhoe North,37.758,145.046,60,Other,EasyWeatherV1.3.1,-37.7581,145.046,59
109,IMELBO2570,Ivanhoe East,37.776,145.061,44,Other,,-37.7761,145.061,34
110,IMELBO2335,Rose Tempest,37.796,144.976,35,WeatherFlow,,-37.7961,144.976,26
111,IMELBO1295,HomePWS,37.801,144.946,24,Other,GW1000_V1.7.7,-37.8009,144.946,19
112,IMELBO1273,Yarraville3013,37.813,144.894,7,Ambient Weather WS-2000,EasyWeatherV1.4.9,-37.8129,144.894,19
113,IDIGGE6,Lou the Weatherman,37.633,144.727,153,Other,,-37.633,144.727,205
114,IVICTORI545,Thornbury South,37.761,144.996,57,Davis Vantage Pro2 (Wireless),meteobridge,-37.7614,144.996,53
115,IMELBO3191,GreyWood,37.758,144.996,17,Other,EasyWeatherV1.6.5,-37.758,144.996,47
116,IVICTORI519,Northcote,37.763,144.99,49,WeatherFlow,,-37.7632,144.99,45
117,IMELBO3436,Preston,37.752,145.015,23,WeatherFlow,,-37.7521,145.015,67
118,IMELBO1993,HillsideJane,37.746,145.061,70,Other,,-37.746,145.061,75
119,IMELBO2530,Le Timbal qui ment,37.735,14.088,85,Ambient Weather WS-2090 (Wireless),MBWeatherV4.2.6,-37.7351,145.088,82
120,IMELBO4040,Ecowitt Weather Station,37.815,144.962,4,other,EasyWeatherV1.5.2,-37.815,144.961,20
121,IMELBOUR732,South Melbourne,37.835,144.954,10,Ambient Weather WS-1400-IP (Wireless),WH2602 V4.5.6,-37.8347,144.954,9
122,IMELBO983,Pantech HP2550,37.845,144.985,17,Ambient Weather WS-2000,EasyWeatherV1.4.4,-37.8454,144.985,13
123,IMELBO1379,Cobden weather,37.836,144.966,9,Other,EasyWeatherV1.6.4,-37.836,144.966,7
124,IMELBO3165,Harvey Wallace,37.825,145.007,12,Other,EasyWeatherV1.5.2,-37.825,145.007,11
125,IMELBO1207,Charles Street,37.809,144.995,21,Ambient Weather WS-2902,,-37.809,144.995,19
126,IMELBO1734,Pantech HP2550,37.827,145.037,39,Other,EasyWeatherV1.4.6,-37.8271,145.037,31
127,IMELBO849,Prahran,37.848,144.99,21,Ambient Weather WS-2902,EasyWeatherV1.6.9,-37.848,144.999,17
128,IMELBO2709,Nursery Weather Port Melbourne,37.835,144.937,2,Other,EasyWeatherV1.6.4,-37.835,144.937,4
129,IMELBO630,Kew,37.814,145.037,21,Ambient Weather WS-2090 (Wireless),EasyWeatherV1.2.7,-37.8136,145.037,43
130,IMELBO3861,Home Weatherflow,37.793,145.069,13,WeatherFlow,,-37.793,145.069,44
131,IMELBO3299,Tev Weather,37.772,145.098,74,Other,,-37.772,145.098,65
132,IMELBO3537,eco500,37.762,145.094,31,Other,EasyWeatherV1.5.2,-37.7618,145.094,48
133,IMELBO1441,Ecowitt,37.762,145.116,56,Other,EasyWeatherV1.4.6,-37.762,145.116,40
134,IMELBO3195,Station1,37.746,145.117,27,Other,,-37.7461,145.117,35
135,IVICTORI61,ViewBank,37.739,145.096,68,David Vantage VP2 plus,Cumulus v4.3.3,-37.7388,145.096,64
136,IMELBO1981,SixtyOne,37.754,145.13,16,Other,,-37.7538,145.13,59
137,IMELBO3008,Home PWS,37.728,145.136,10,Other,EasyWeatherV1.6.6,-37.7279,145.136,58
138,IMELBOUR434,Eltham,37.722,145.164,81,Other,XC0422 V2.3.8,-37.7215,145.164,66
139,IMELBO1260,BahenWillem,37.698,145.156,64,Other,EasyWeatherV1.6.4,-37.6988,145.157,50
140,IMELBO1597,Rhys? Weather Station,37.67,145.149,85,Other,EasyWeatherV1.5.2,-37.67,145.149,82
141,IVICTORI772,Plenty,37.662,145.117,128,Other,EasyWeatherPro_V5.1.7,-37.6619,145.117,122
142,IMELBO281,Pell Weather Station,37.679,145.138,78,Other,EasyWeatherPro_V5.0.2,-37.679,145.138,83
143,IMELBO3372,Rob's weather Station,37.664,145.079,145,Other,,-37.6641,145.079,124
144,IMELBO206,SthMorang3752,37.629,145.084,153,Other,EasyWeatherV1.5.2,-37.629,145.084,148
145,IMELBO3226,GavinWeatherStation,37.631,145.037,46,Other,EasyWeatherV1.6.5,-37.631,145.037,149
146,IWOLLE16,DeathStar,37.609,145.024,181,Other,EasyWeatherV1.5.2,-37.609,145.024,177
147,IMELBO1417,MKD,37.61,144.93,58,Other,EasyWeatherV1.6.1,-37.61,144.93,193
